name,version,repository,license,license-url,license-source
criterion-plot,v0.5.0,https://github.com/bheisler/criterion.rs,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/criterion-plot
crossbeam-deque,v0.8.4,https://github.com/crossbeam-rs/crossbeam,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crossbeam-deque
crossbeam-epoch,v0.9.16,https://github.com/crossbeam-rs/crossbeam,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crossbeam-epoch
crossbeam-queue,v0.3.9,https://github.com/crossbeam-rs/crossbeam,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crossbeam-queue
crossbeam-utils,v0.8.17,https://github.com/crossbeam-rs/crossbeam,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crossbeam-utils
crypto-bigint,v0.5.5,https://github.com/RustCrypto/crypto-bigint,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/crypto-bigint
crypto-common,v0.1.6,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crypto-common
crypto_box,v0.9.1,https://github.com/RustCrypto/nacl-compat/tree/master/crypto_box,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/crypto_box
crypto_secretbox,v0.1.1,https://github.com/RustCrypto/nacl-compat/tree/master/crypto_secretbox,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/crypto_secretbox
ctr,v0.9.2,https://github.com/RustCrypto/block-modes,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/ctr
curve25519-dalek,v4.1.1,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://crates.io/api/v1/crates/curve25519-dalek (normalized)
der,v0.7.8,https://github.com/RustCrypto/formats/tree/master/der,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/der
digest,v0.10.7,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/digest
dotenvy,v0.15.7,https://github.com/allan2/dotenvy,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/dotenvy (normalized)
ecdsa,v0.16.9,https://github.com/RustCrypto/signatures/tree/master/ecdsa,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/ecdsa
ed25519,v2.2.3,https://github.com/RustCrypto/signatures/tree/master/ed25519,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/ed25519
ed25519-dalek,v2.1.0,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/ed25519-dalek,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://crates.io/api/v1/crates/ed25519-dalek (normalized)
either,v1.9.0,https://github.com/bluss/either,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/either
elliptic-curve,v0.13.8,https://github.com/RustCrypto/traits/tree/master/elliptic-curve,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/elliptic-curve
env_logger,v0.10.1,https://github.com/rust-cli/env_logger,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/env_logger
equivalent,v1.0.1,https://github.com/cuviper/equivalent,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/equivalent
errno,v0.3.8,https://github.com/lambda-fairy/rust-errno,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/errno
event-listener,v2.5.3,https://github.com/smol-rs/event-listener,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/event-listener
event-listener,v4.0.1,https://github.com/smol-rs/event-listener,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/event-listener
event-listener-strategy,v0.4.0,https://github.com/smol-rs/event-listener,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/event-listener-strategy
fastrand,v2.0.1,https://github.com/smol-rs/fastrand,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/fastrand
ff,v0.13.0,https://github.com/zkcrypto/ff,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/ff
ffi-support,v0.4.4,https://github.com/mozilla/ffi-support,Apache-2.0 / MIT,UNKNOWN,https://crates.io/api/v1/crates/ffi-support
finl_unicode,v1.2.0,https://github.com/dahosek/finl_unicode,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/finl_unicode
flume,v0.11.0,https://github.com/zesterer/flume,Apache-2.0/MIT,UNKNOWN,https://crates.io/api/v1/crates/flume
form_urlencoded,v1.2.1,https://github.com/servo/rust-url,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/form_urlencoded
futures-channel,v0.3.29,https://github.com/rust-lang/futures-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/futures-channel
futures-core,v0.3.29,https://github.com/rust-lang/futures-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/futures-core
futures-executor,v0.3.29,https://github.com/rust-lang/futures-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/futures-executor
futures-intrusive,v0.5.0,https://github.com/Matthias247/futures-intrusive,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/futures-intrusive
futures-io,v0.3.29,https://github.com/rust-lang/futures-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/futures-io
futures-lite,v2.1.0,https://github.com/smol-rs/futures-lite,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/futures-lite
futures-sink,v0.3.29,https://github.com/rust-lang/futures-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/futures-sink
futures-task,v0.3.29,https://github.com/rust-lang/futures-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/futures-task
futures-util,v0.3.29,https://github.com/rust-lang/futures-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/futures-util
generic-array,v0.14.7,https://github.com/fizyk20/generic-array.git,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/generic-array (normalized)
getrandom,v0.2.11,https://github.com/rust-random/getrandom,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/getrandom
ghash,v0.5.0,https://github.com/RustCrypto/universal-hashes,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/ghash
group,v0.13.0,https://github.com/zkcrypto/group,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/group
half,v1.8.2,https://github.com/starkat99/half-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/half
hashbrown,v0.14.3,https://github.com/rust-lang/hashbrown,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/hashbrown
hashlink,v0.8.4,https://github.com/kyren/hashlink,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/hashlink
heck,v0.4.1,https://github.com/withoutboats/heck,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/heck
hex,v0.4.3,https://github.com/KokaKiwi/rust-hex,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/hex
hkdf,v0.12.4,https://github.com/RustCrypto/KDFs/,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/hkdf
hmac,v0.12.1,https://github.com/RustCrypto/MACs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/hmac
home,v0.5.5,https://github.com/rust-lang/cargo,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/home
humantime,v2.1.0,https://github.com/tailhook/humantime,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/humantime
iana-time-zone,v0.1.58,https://github.com/strawlab/iana-time-zone,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/iana-time-zone
idna,v0.5.0,https://github.com/servo/rust-url/,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/idna
indexmap,v2.1.0,https://github.com/bluss/indexmap,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/indexmap
inout,v0.1.3,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/inout
is-terminal,v0.4.9,https://github.com/sunfishcode/is-terminal,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/is-terminal (normalized)
itertools,v0.10.5,https://github.com/rust-itertools/itertools,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/itertools
itertools,v0.12.0,https://github.com/rust-itertools/itertools,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/itertools
itoa,v1.0.10,https://github.com/dtolnay/itoa,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/itoa
k256,v0.13.2,https://github.com/RustCrypto/elliptic-curves/tree/master/k256,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/k256
lazy_static,v1.4.0,https://github.com/rust-lang-nursery/lazy-static.rs,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/lazy_static
libc,v0.2.155,https://github.com/rust-lang/libc,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/libc
libsqlite3-sys,v0.27.0,https://github.com/rusqlite/rusqlite,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/libsqlite3-sys (normalized)
lock_api,v0.4.11,https://github.com/Amanieu/parking_lot,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/lock_api
log,v0.4.21,https://github.com/rust-lang/log,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/log
md-5,v0.10.6,https://github.com/RustCrypto/hashes,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/md-5
memchr,v2.6.4,https://github.com/BurntSushi/memchr,Unlicense OR MIT,UNKNOWN,https://crates.io/api/v1/crates/memchr
memoffset,v0.9.0,https://github.com/Gilnaa/memoffset,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/memoffset (normalized)
minimal-lexical,v0.2.1,https://github.com/Alexhuszagh/minimal-lexical,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/minimal-lexical
mio,v0.8.11,https://github.com/tokio-rs/mio,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/mio (normalized)
nix,v0.27.1,https://github.com/nix-rust/nix,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/nix (normalized)
nom,v7.1.3,https://github.com/Geal/nom,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/nom (normalized)
num-traits,v0.2.17,https://github.com/rust-num/num-traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num-traits
num_cpus,v1.16.0,https://github.com/seanmonstar/num_cpus,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num_cpus
once_cell,v1.19.0,https://github.com/matklad/once_cell,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/once_cell
oorandom,v11.1.3,UNKNOWN,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/oorandom (normalized)
opaque-debug,v0.3.0,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/opaque-debug
p256,v0.13.2,https://github.com/RustCrypto/elliptic-curves/tree/master/p256,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/p256
p384,v0.13.0,https://github.com/RustCrypto/elliptic-curves/tree/master/p384,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/p384
