name,version,repository,license,license-url,license-source
pin-project-internal,v1.1.5,https://github.com/taiki-e/pin-project,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/taiki-e/pin-project
itertools,v0.12.1,https://github.com/rust-itertools/itertools,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-itertools/itertools
der,v0.7.9,https://github.com/RustCrypto/formats/tree/master/der,Unknown,Unknown,-
futures-channel,v0.3.30,https://github.com/rust-lang/futures-rs,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-lang/futures-rs
dissimilar,v1.0.9,https://github.com/dtolnay/dissimilar,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dtolnay/dissimilar
pin-utils,v0.1.0,https://github.com/rust-lang-nursery/pin-utils,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-lang-nursery/pin-utils
once_cell,v1.19.0,https://github.com/matklad/once_cell,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/matklad/once_cell
want,v0.3.1,https://github.com/seanmonstar/want,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/seanmonstar/want
rand_core,v0.6.4,https://github.com/rust-random/rand,Unknown,Unknown,-
mini-internal,v0.1.39,https://github.com/dtolnay/miniserde,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dtolnay/miniserde
deranged,v0.3.11,https://github.com/jhpratt/deranged,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/jhpratt/deranged
clap_builder,v4.5.14,https://github.com/clap-rs/clap,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/clap-rs/clap
num-rational,v0.4.2,https://github.com/rust-num/num-rational,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-num/num-rational
thiserror,v1.0.63,https://github.com/dtolnay/thiserror,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dtolnay/thiserror
block-padding,v0.3.3,https://github.com/RustCrypto/utils,Unknown,Unknown,-
pbkdf2,v0.12.2,https://github.com/RustCrypto/password-hashes/tree/master/pbkdf2,Unknown,Unknown,-
typenum,v1.17.0,https://github.com/paholg/typenum,Unknown,Unknown,-
hyper-timeout,v0.4.1,https://github.com/hjr3/hyper-timeout,Unknown,Unknown,-
h2,v0.4.6,https://github.com/hyperium/h2,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/hyperium/h2
tracing-attributes,v0.1.27,https://github.com/tokio-rs/tracing,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/tokio-rs/tracing
num-traits,v0.2.19,https://github.com/rust-num/num-traits,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-num/num-traits
anstream,v0.6.15,https://github.com/rust-cli/anstyle.git,Unknown,Unknown,-
inout,v0.1.3,https://github.com/RustCrypto/utils,Unknown,Unknown,-
async-stream-impl,v0.3.5,https://github.com/tokio-rs/async-stream,Unknown,Unknown,-
